CodRegion_ESTAB,ESTAB,Nombre,TipoEstablecimiento,lat,lng
15,101010,Actividades Gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Arica),Dirección Servicio de Salud,S/I,S/I
15,101011,PRAIS (S.S Arica),,-18.484663999999999,-70.303464000000005
15,101012,Clínica Dental Móvil Simple. Pat. PW4076 (Arica),,-18.477644000000002,-70.320689000000002
15,101090,Oficina Sanitaria Chacalluta,Oficina Sanitaria,-18.315162999999998,-70.312927999999999
15,101100,Hospital Dr. Juan Noé Crevanni (Arica),Establecimiento Alta Complejidad,-18.482478,-70.312948000000006
15,101203,Clínica Hebe,Clínica,-18.48057,-70.319249999999997
15,101212,Clínica San Agustín,Clínica,-18.481642000000001,-70.315702000000002
15,101213,Clínica San José,Clínica,-18.483416999999999,-70.306769000000003
15,101214,Clínica Arica,Clínica,S/I,S/I
15,101215,Complejo Penitenciario,Hospital (No perteneciente al SNSS),-18.544415999999998,-70.250049000000004
15,101216,Servicio Médico Estudiantil,Centro de Salud,S/I,S/I
15,101217,Centro Clínico Militar Arica,Centro de Salud,-18.472919000000001,-70.312263999999999
15,101219,Policlínico del Trabajador AChS Arica,Centro de Salud,S/I,S/I
15,101222,Instituto de Rehabilitación Infantil TELETÓN (Arica),Centro de Salud,S/I,S/I
15,101223,Centro Médico Monte Sinaí,Centro de Salud,S/I,S/I
15,101224,Clínica Santo Domingo,Clínica,S/I,S/I
15,101225,Centro Integral de Salud,Centro de Salud,S/I,S/I
15,101227,Policlínico Institucional de Gendarmería de Chile (Arica),Centro de Salud,-18.480378000000002,-70.321293999999995
15,101228,Policlínico del Agricultor,Centro de Salud,S/I,S/I
15,101229,Centro Odontológico Arisa,Centro de Salud,S/I,S/I
15,101234,Centro de Salud Mutual CChC Arica,Centro de Salud,S/I,S/I
15,101236,Centro Dental Megasalud SpA,Clínica Dental,S/I,S/I
15,101237,Clínica Dr. Héctor Sánchez,Clínica,-18.483846,-70.309715999999995
15,101238,Clínica Mella Arica y Compañía Ltda.,Clínica,S/I,S/I
15,101239,Policlínico Médico-Dental de Carabineros,Centro de Salud,-18.484918,-70.303977000000003
15,101240,Laboratorio Clínico San José Ltda.,Laboratorio Clínico o Dental,S/I,S/I
15,101241,Laboratorio Bionet,Laboratorio Clínico o Dental,S/I,S/I
15,101242,Laboratorio Clínico y Hematológico Diagnotest,Laboratorio Clínico o Dental,S/I,S/I
15,101243,Laboratorio Clínico Central,Laboratorio Clínico o Dental,S/I,S/I
15,101244,Laboratorio Clínico San Martín,Laboratorio Clínico o Dental,S/I,S/I
15,101245,Laboratorio Clínico Dialab,Laboratorio Clínico o Dental,S/I,S/I
15,101246,Laboratorio Clínico del Norte - Labonorte,Laboratorio Clínico o Dental,S/I,S/I
15,101247,Laboratorio Clínico Chungará,Laboratorio Clínico o Dental,S/I,S/I
15,101248,Laboratorio Clínico Biolascer,Laboratorio Clínico o Dental,S/I,S/I
15,101300,Centro de Salud Familiar Víctor Bertín Soto,Consultorio General Urbano,-18.476844,-70.296028000000007
